,position,goals.min,goals.max,goals.avg,xG.min,xG.max,xG.avg,shots.min,shots.max,shots.avg,assists.min,assists.max,assists.avg,xA.min,xA.max,xA.avg,key_passes.min,key_passes.max,key_passes.avg,xGChain.min,xGChain.max,xGChain.avg,xGBuildup.min,xGBuildup.max,xGBuildup.avg,player_id,player
0,GK,0.0,0.0001,0.0,0.0,7.09163e-05,1.32919e-06,0.0,0.0003,0.0,0.0,0.0003,0.0,0.0,0.000231707,1.66266e-05,0.0,0.0014,0.0003,5.23905e-05,0.00306355,0.000855274,4.87134e-05,0.00306355,0.000841397,2090,Marc-André ter Stegen
1,Sub,0.0008,0.016,0.0026,0.00121151,0.014437,0.00274433,0.0089,0.066,0.0249,0.0008,0.009,0.0017,0.000909816,0.00537747,0.00171517,0.0062,0.0369,0.0162,0.00378437,0.0160493,0.00590006,0.000342356,0.00815345,0.0027587,2090,Marc-André ter Stegen
0,DC,0.0,0.0021,0.0005,2.78215e-05,0.00189159,0.000494142,0.0006,0.0171,0.005,0.0,0.0016,0.0002,1.82466e-05,0.00106864,0.000207481,0.0003,0.0089,0.0021,0.000434443,0.00684349,0.00188832,0.000379923,0.00669638,0.00177136,8091,Ronald Araújo
1,DL,0.0,0.0023,0.0003,7.53829e-06,0.00238029,0.000340915,0.0005,0.018,0.0058,0.0,0.0028,0.0008,0.000242894,0.00259094,0.000825722,0.0035,0.0199,0.0088,0.000958841,0.00892891,0.00278695,0.00080249,0.00705833,0.00216948,8091,Ronald Araújo
2,DR,0.0,0.0017,0.0003,6.34242e-06,0.00172226,0.000337445,0.0002,0.0149,0.0052,0.0,0.0038,0.0008,0.000161894,0.00253973,0.000805779,0.0029,0.021,0.0082,0.00107244,0.00882197,0.00282332,0.000681187,0.0073707,0.00218809,8091,Ronald Araújo
3,Sub,0.0008,0.016,0.0026,0.00121151,0.014437,0.00274433,0.0089,0.066,0.0249,0.0008,0.009,0.0017,0.000909816,0.00537747,0.00171517,0.0062,0.0369,0.0162,0.00378437,0.0160493,0.00590006,0.000342356,0.00815345,0.0027587,8091,Ronald Araújo
0,DC,0.0,0.0021,0.0005,2.78215e-05,0.00189159,0.000494142,0.0006,0.0171,0.005,0.0,0.0016,0.0002,1.82466e-05,0.00106864,0.000207481,0.0003,0.0089,0.0021,0.000434443,0.00684349,0.00188832,0.000379923,0.00669638,0.00177136,200,Andreas Christensen
1,DR,0.0,0.0017,0.0003,6.34242e-06,0.00172226,0.000337445,0.0002,0.0149,0.0052,0.0,0.0038,0.0008,0.000161894,0.00253973,0.000805779,0.0029,0.021,0.0082,0.00107244,0.00882197,0.00282332,0.000681187,0.0073707,0.00218809,200,Andreas Christensen
2,MC,0.0,0.0052,0.0009,3.3423e-05,0.00370003,0.000922265,0.0012,0.0354,0.0124,0.0,0.0072,0.001,5.26699e-05,0.00467557,0.000968308,0.0021,0.0377,0.0115,0.000853652,0.0121255,0.00367181,0.000641621,0.00805912,0.00256902,200,Andreas Christensen
3,Sub,0.0008,0.016,0.0026,0.00121151,0.014437,0.00274433,0.0089,0.066,0.0249,0.0008,0.009,0.0017,0.000909816,0.00537747,0.00171517,0.0062,0.0369,0.0162,0.00378437,0.0160493,0.00590006,0.000342356,0.00815345,0.0027587,200,Andreas Christensen
0,DC,0.0,0.0021,0.0005,2.78215e-05,0.00189159,0.000494142,0.0006,0.0171,0.005,0.0,0.0016,0.0002,1.82466e-05,0.00106864,0.000207481,0.0003,0.0089,0.0021,0.000434443,0.00684349,0.00188832,0.000379923,0.00669638,0.00177136,2484,Iñigo Martínez
1,DL,0.0,0.0023,0.0003,7.53829e-06,0.00238029,0.000340915,0.0005,0.018,0.0058,0.0,0.0028,0.0008,0.000242894,0.00259094,0.000825722,0.0035,0.0199,0.0088,0.000958841,0.00892891,0.00278695,0.00080249,0.00705833,0.00216948,2484,Iñigo Martínez
2,Sub,0.0008,0.016,0.0026,0.00121151,0.014437,0.00274433,0.0089,0.066,0.0249,0.0008,0.009,0.0017,0.000909816,0.00537747,0.00171517,0.0062,0.0369,0.0162,0.00378437,0.0160493,0.00590006,0.000342356,0.00815345,0.0027587,2484,Iñigo Martínez
0,AMR,0.0007,0.0055,0.002,0.000999219,0.00449176,0.0019654,0.0123,0.0362,0.0201,0.0015,0.0045,0.0018,0.00142682,0.00444451,0.00181285,0.0121,0.0365,0.0165,0.00382839,0.0090587,0.00455367,0.00109596,0.00435623,0.00192537,2379,João Cancelo
