match_id,competition,matchday,date,home_team,away_team,match_ended_in,home_score,away_score,winner
4017422,Copa del Rey,Semi-Finals,2023-04-05,FC Barcelona,Real Madrid,Main time,0,4,Real Madrid
3886591,LaLiga,26,2023-03-19,FC Barcelona,Real Madrid,Main time,2,1,FC Barcelona
4017421,Copa del Rey,Semi-Finals,2023-03-02,Real Madrid,FC Barcelona,Main time,0,1,FC Barcelona
4001330,Supercopa,Final,2023-01-15,Real Madrid,FC Barcelona,Main time,1,3,FC Barcelona
3886323,LaLiga,9,2022-10-16,Real Madrid,FC Barcelona,Main time,3,1,Real Madrid
3610564,LaLiga,29,2022-03-20,Real Madrid,FC Barcelona,Main time,0,4,FC Barcelona
3593340,Supercopa,Semi-Finals,2022-01-12,FC Barcelona,Real Madrid,Extra time,2,3,Real Madrid
3605324,LaLiga,10,2021-10-24,FC Barcelona,Real Madrid,Main time,1,2,Real Madrid
3451399,LaLiga,30,2021-04-10,Real Madrid,FC Barcelona,Main time,2,1,Real Madrid
3450971,LaLiga,7,2020-10-24,FC Barcelona,Real Madrid,Main time,1,3,Real Madrid
3209984,LaLiga,26,2020-03-01,Real Madrid,FC Barcelona,Main time,2,0,Real Madrid
3208724,LaLiga,10,2019-12-18,FC Barcelona,Real Madrid,Main time,0,0,Draw
3080826,LaLiga,26,2019-03-02,Real Madrid,FC Barcelona,Main time,0,1,FC Barcelona
3153160,Copa del Rey,Semi-Finals,2019-02-27,Real Madrid,FC Barcelona,Main time,0,3,FC Barcelona
3153158,Copa del Rey,Semi-Finals,2019-02-06,FC Barcelona,Real Madrid,Main time,1,1,Draw
3079431,LaLiga,10,2018-10-28,FC Barcelona,Real Madrid,Main time,5,1,FC Barcelona
2899869,LaLiga,36,2018-05-06,FC Barcelona,Real Madrid,Main time,2,2,Draw
2899698,LaLiga,17,2017-12-23,Real Madrid,FC Barcelona,Main time,0,3,FC Barcelona
2878317,Supercopa,final,2017-08-16,Real Madrid,FC Barcelona,Main time,2,0,Real Madrid
2878318,Supercopa,final,2017-08-13,FC Barcelona,Real Madrid,Main time,1,3,Real Madrid
2719034,LaLiga,33,2017-04-23,Real Madrid,FC Barcelona,Main time,2,3,FC Barcelona
2718844,LaLiga,14,2016-12-03,FC Barcelona,Real Madrid,Main time,1,1,Draw
2594773,LaLiga,31,2016-04-02,FC Barcelona,Real Madrid,Main time,1,2,Real Madrid
2594583,LaLiga,12,2015-11-21,Real Madrid,FC Barcelona,Main time,0,4,FC Barcelona
2475457,LaLiga,28,2015-03-22,FC Barcelona,Real Madrid,Main time,2,1,FC Barcelona
2475267,LaLiga,9,2014-10-25,Real Madrid,FC Barcelona,Main time,3,1,Real Madrid
2425890,Copa del Rey,Final,2014-04-16,FC Barcelona,Real Madrid,Main time,1,2,Real Madrid
2341314,LaLiga,29,2014-03-23,Real Madrid,FC Barcelona,Main time,3,4,FC Barcelona
2341135,LaLiga,10,2013-10-26,FC Barcelona,Real Madrid,Main time,2,1,FC Barcelona
2243144,LaLiga,26,2013-03-02,Real Madrid,FC Barcelona,Main time,2,1,Real Madrid
2288676,Copa del Rey,Semi-Finals,2013-02-26,FC Barcelona,Real Madrid,Main time,1,3,Real Madrid
2288674,Copa del Rey,Semi-Finals,2013-01-30,Real Madrid,FC Barcelona,Main time,1,1,Draw
2242853,LaLiga,7,2012-10-07,FC Barcelona,Real Madrid,Main time,2,2,Draw
2244389,Supercopa,final,2012-08-29,Real Madrid,FC Barcelona,Main time,2,1,Real Madrid
2244388,Supercopa,final,2012-08-23,FC Barcelona,Real Madrid,Main time,3,2,FC Barcelona
1125566,LaLiga,35,2012-04-21,FC Barcelona,Real Madrid,Main time,1,2,Real Madrid
1178297,Copa del Rey,Quarter-Finals,2012-01-25,FC Barcelona,Real Madrid,Main time,2,2,Draw
1178301,Copa del Rey,Quarter-Finals,2012-01-18,Real Madrid,FC Barcelona,Main time,1,2,FC Barcelona
1125376,LaLiga,16,2011-12-10,Real Madrid,FC Barcelona,Main time,1,3,FC Barcelona
1122445,Supercopa,final,2011-08-17,FC Barcelona,Real Madrid,Main time,3,2,FC Barcelona
1122444,Supercopa,final,2011-08-14,Real Madrid,FC Barcelona,Main time,2,2,Draw
1093390,UEFA Champions League,Semi-Finals,2011-05-03,FC Barcelona,Real Madrid,Main time,1,1,Draw
1093389,UEFA Champions League,Semi-Finals,2011-04-27,Real Madrid,FC Barcelona,Main time,0,2,FC Barcelona
1076632,Copa del Rey,Final,2011-04-20,FC Barcelona,Real Madrid,Extra time,0,1,Real Madrid
1036385,LaLiga,32,2011-04-16,Real Madrid,FC Barcelona,Main time,1,1,Draw
1036195,LaLiga,13,2010-11-29,FC Barcelona,Real Madrid,Main time,5,0,FC Barcelona
957612,LaLiga,31,2010-04-10,Real Madrid,FC Barcelona,Main time,0,2,FC Barcelona
957261,LaLiga,12,2009-11-29,FC Barcelona,Real Madrid,Main time,1,0,FC Barcelona
920667,LaLiga,34,2009-05-02,Real Madrid,FC Barcelona,Main time,2,6,FC Barcelona
920477,LaLiga,15,2008-12-13,FC Barcelona,Real Madrid,Main time,2,0,FC Barcelona
79140,LaLiga,36,2008-05-07,Real Madrid,FC Barcelona,Main time,4,1,Real Madrid
78947,LaLiga,17,2007-12-23,FC Barcelona,Real Madrid,Main time,0,1,Real Madrid
58667,LaLiga,26,2007-03-10,FC Barcelona,Real Madrid,Main time,3,3,Draw
58485,LaLiga,7,2006-10-22,Real Madrid,FC Barcelona,Main time,2,0,Real Madrid
36056,LaLiga,31,2006-04-02,FC Barcelona,Real Madrid,Main time,1,1,Draw
36002,LaLiga,12,2005-11-19,Real Madrid,FC Barcelona,Main time,0,3,FC Barcelona
28204,LaLiga,31,2005-04-10,Real Madrid,FC Barcelona,Main time,4,2,Real Madrid
27991,LaLiga,12,2004-11-20,FC Barcelona,Real Madrid,Main time,3,0,FC Barcelona
6979,LaLiga,34,2004-04-25,Real Madrid,FC Barcelona,Main time,1,2,FC Barcelona
3245,LaLiga,15,2003-12-06,FC Barcelona,Real Madrid,Main time,1,2,Real Madrid
1004438,LaLiga,30,2003-04-19,Real Madrid,FC Barcelona,Main time,1,1,Draw
1000097,LaLiga,11,2002-11-23,FC Barcelona,Real Madrid,Main time,0,0,Draw
1023614,UEFA Champions League,Semi-Finals,2002-05-01,Real Madrid,FC Barcelona,Main time,1,1,Draw
1023611,UEFA Champions League,Semi-Finals,2002-04-23,FC Barcelona,Real Madrid,Main time,0,2,Real Madrid
1089783,LaLiga,30,2002-03-16,FC Barcelona,Real Madrid,Main time,1,1,Draw
1083516,LaLiga,11,2001-11-04,Real Madrid,FC Barcelona,Main time,2,0,Real Madrid
1091605,LaLiga,25,2001-03-03,Real Madrid,FC Barcelona,Main time,2,2,Draw
1091365,LaLiga,6,2000-10-21,FC Barcelona,Real Madrid,Main time,2,0,FC Barcelona
1183971,LaLiga,26,2000-02-26,Real Madrid,FC Barcelona,Main time,3,0,Real Madrid
