,index,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
0,0,545508,5,Goal,0.9259999847412109,0.5359999847412109,0.548054039478302,Ilkay Gündogan,h,314,OpenPlay,2023,RightFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,,None
1,1,545510,15,ShotOnPost,0.9069999694824219,0.6309999847412109,0.09907364845275879,Fermín López,h,11822,OpenPlay,2023,RightFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,Gavi,BallRecovery
2,2,545513,36,MissedShots,0.779000015258789,0.4879999923706055,0.040702082216739655,Fermín López,h,11822,OpenPlay,2023,LeftFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,Ferrán Torres,Pass
3,3,545515,41,BlockedShot,0.924000015258789,0.6719999694824219,0.06672355532646179,João Félix,h,7892,OpenPlay,2023,LeftFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,João Cancelo,Chipped
4,4,545517,45,MissedShots,0.8119999694824219,0.485,0.04046473652124405,Gavi,h,9804,FromCorner,2023,RightFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,,None
5,5,545519,50,ShotOnPost,0.9119999694824219,0.47200000762939454,0.09640434384346008,Iñigo Martínez,h,2484,FromCorner,2023,Head,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,Fermín López,Cross
6,6,545520,50,SavedShot,0.9440000152587891,0.654000015258789,0.07281102985143661,Ronald Araújo,h,8091,FromCorner,2023,LeftFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,,Rebound
7,7,545522,64,BlockedShot,0.879000015258789,0.39,0.0977792888879776,João Cancelo,h,2379,OpenPlay,2023,RightFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,,Dispossessed
8,8,545528,78,MissedShots,0.7680000305175781,0.42700000762939455,0.026943601667881012,Robert Lewandowski,h,227,OpenPlay,2023,RightFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,Raphinha,Pass
9,9,545529,79,MissedShots,0.8569999694824219,0.325,0.04295586794614792,Gavi,h,9804,OpenPlay,2023,LeftFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,Oriol Romeu,Pass
