,id,isResult,side,datetime,result,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,forecast.w,forecast.d,forecast.l
0,5834,True,h,2014-08-25 19:00:00,w,150,Real Madrid,RMA,206,Cordoba,COR,2,0,0.612645,0.37841,0.3476626372680084,0.4623547836894502,0.1899825790425411
1,5844,True,a,2014-08-31 20:00:00,l,140,Real Sociedad,SOC,150,Real Madrid,RMA,4,2,2.74099,2.31574,0.4833718515898158,0.17954093483162845,0.3370869676270863
2,5789,True,h,2014-09-13 19:00:00,l,150,Real Madrid,RMA,143,Atletico Madrid,ATL,1,2,1.58778,1.11054,0.4840618573424637,0.2498130058707702,0.26612513660727405
3,5797,True,a,2014-09-20 15:00:00,w,139,Deportivo La Coruna,DEP,150,Real Madrid,RMA,2,8,1.74836,2.05644,0.33413394707605737,0.21049119841690098,0.4553748482797516
4,5806,True,h,2014-09-23 19:00:00,w,150,Real Madrid,RMA,207,Elche,ELC,5,1,3.93785,1.07447,0.861622259634499,0.0830158892690635,0.055345163924188666
5,5817,True,a,2014-09-27 15:00:00,w,154,Villarreal,VIL,150,Real Madrid,RMA,0,2,0.951263,0.976346,0.33561370346617914,0.31543556301917763,0.34895073351428
6,5763,True,h,2014-10-05 20:00:00,w,150,Real Madrid,RMA,147,Athletic Club,ATH,5,0,3.61471,0.744918,0.8818126439316035,0.07860926109998163,0.039571872823636854
7,5765,True,a,2014-10-18 15:00:00,w,151,Levante,LEV,150,Real Madrid,RMA,0,5,0.488171,4.276,0.012556048470114838,0.038088680370879195,0.9493132023111752
8,5776,True,h,2014-10-25 17:00:00,w,150,Real Madrid,RMA,148,Barcelona,BAR,3,1,1.87887,1.30281,0.5093058944288993,0.22510027538874025,0.2655938284730178
9,5716,True,a,2014-11-01 15:00:00,w,155,Granada,GRA,150,Real Madrid,RMA,0,4,1.07775,2.84686,0.1152823115844504,0.14611816811428577,0.738599168277998
10,5728,True,h,2014-11-08 19:00:00,w,150,Real Madrid,RMA,145,Rayo Vallecano,RVL,5,1,2.69643,0.843676,0.7645196920330148,0.14350686743715196,0.09197326128585374
11,5737,True,a,2014-11-22 17:00:00,w,156,Eibar,EIB,150,Real Madrid,RMA,0,4,0.87358,4.68657,0.023079366013253565,0.04528653209340307,0.9315199332666433
12,5748,True,a,2014-11-29 19:00:00,w,137,Malaga,MAL,150,Real Madrid,RMA,1,2,1.16042,4.15129,0.05438437550801482,0.07827284320824585,0.8673125166208551
13,5689,True,h,2014-12-06 19:00:00,w,150,Real Madrid,RMA,152,Celta Vigo,CEL,3,0,2.59443,0.552243,0.8118995155736066,0.1305069896200103,0.05759338432127011
14,5697,True,a,2014-12-12 19:45:00,w,208,Almeria,ALM,150,Real Madrid,RMA,1,4,1.33389,1.25169,0.38704680106721345,0.2645050281470452,0.3484481707623195
15,5648,True,a,2015-01-04 16:00:00,l,146,Valencia,VAL,150,Real Madrid,RMA,2,1,0.708983,2.63452,0.07670253157144626,0.13926880509277387,0.7840285293516119
16,5653,True,h,2015-01-10 15:00:00,w,150,Real Madrid,RMA,141,Espanyol,ESP,3,0,1.73073,0.367803,0.7133852835808764,0.21404064549680835,0.07257407035392545
17,5667,True,a,2015-01-18 11:00:00,w,142,Getafe,GET,150,Real Madrid,RMA,0,3,0.544312,2.41204,0.06531007422553015,0.1462542369057996,0.7884356450230734
18,5672,True,a,2015-01-24 15:00:00,w,206,Cordoba,COR,150,Real Madrid,RMA,1,2,1.63834,1.99717,0.32054039307872684,0.21490054901086927,0.46455905383850676
19,5683,True,h,2015-01-31 15:00:00,w,150,Real Madrid,RMA,140,Real Sociedad,SOC,4,1,4.01477,1.0602,0.8697751783995686,0.07881207620411457,0.051391965146342596
20,5607,True,h,2015-02-04 19:45:00,w,150,Real Madrid,RMA,138,Sevilla,SEV,2,1,2.44168,2.47777,0.401123039832188,0.1851160953736807,0.4137607518194715
21,5609,True,a,2015-02-07 15:00:00,l,143,Atletico Madrid,ATL,150,Real Madrid,RMA,4,0,2.27475,0.102273,0.8731049678117909,0.1157111601233514,0.011183851386364432
22,5620,True,h,2015-02-14 17:00:00,w,150,Real Madrid,RMA,139,Deportivo La Coruna,DEP,2,0,1.47812,0.618923,0.5811850743968934,0.26364425389030377,0.155170671645343
23,5636,True,a,2015-02-22 20:00:00,w,207,Elche,ELC,150,Real Madrid,RMA,0,2,0.113848,1.93223,0.017327853968684446,0.15927353349747472,0.8233986100754336
24,5569,True,h,2015-03-01 20:00:00,d,150,Real Madrid,RMA,154,Villarreal,VIL,1,1,2.94269,0.830645,0.8000653349570599,0.12434608053978917,0.0755880551923877
25,5573,True,a,2015-03-07 17:00:00,l,147,Athletic Club,ATH,150,Real Madrid,RMA,1,0,0.351052,0.880869,0.1414692865946845,0.38916245961964574,0.46936825378561975
26,5589,True,h,2015-03-15 20:00:00,w,150,Real Madrid,RMA,151,Levante,LEV,2,0,2.53951,0.58311,0.7978835334247104,0.13776563549030446,0.06435074674305306
27,5600,True,a,2015-03-22 23:00:00,l,148,Barcelona,BAR,150,Real Madrid,RMA,2,1,2.29612,1.69907,0.5142775528058947,0.1992760851479637,0.28644633827777516
28,5510,True,h,2015-04-05 11:00:00,w,150,Real Madrid,RMA,155,Granada,GRA,9,1,6.61091,0.602945,0.9856212049758886,0.00827162187017028,0.002661391062194044
29,5521,True,a,2015-04-08 21:00:00,w,145,Rayo Vallecano,RVL,150,Real Madrid,RMA,0,2,1.19622,1.94497,0.23214872810441864,0.2198597855251267,0.5479914836856484
30,5525,True,h,2015-04-11 15:00:00,w,150,Real Madrid,RMA,156,Eibar,EIB,3,0,2.99344,0.143497,0.9276272275927988,0.06416560029358459,0.00820651943255065
31,5538,True,h,2015-04-18 19:00:00,w,150,Real Madrid,RMA,137,Malaga,MAL,3,1,3.03655,1.04346,0.7715612052892207,0.13122201508172296,0.09721600244415013
32,5553,True,a,2015-04-26 20:00:00,w,152,Celta Vigo,CEL,150,Real Madrid,RMA,2,4,2.11816,2.11441,0.4003374168184297,0.20073423405214244,0.39892833290685636
33,5559,True,h,2015-04-29 19:00:00,w,150,Real Madrid,RMA,208,Almeria,ALM,3,0,2.72518,0.248127,0.8883736278495513,0.09201348489486669,0.019612682628299783
34,5468,True,a,2015-05-02 19:00:00,w,138,Sevilla,SEV,150,Real Madrid,RMA,2,3,2.92695,1.7552,0.6186888601826994,0.16665680917770367,0.21465383438864094
35,5478,True,h,2015-05-09 19:00:00,d,150,Real Madrid,RMA,146,Valencia,VAL,2,2,2.73249,1.59908,0.6158262083720951,0.17377558366436505,0.21039799618849991
36,5492,True,a,2015-05-17 18:00:00,w,141,Espanyol,ESP,150,Real Madrid,RMA,1,4,1.5021,2.42924,0.2296668056554452,0.18999262647626924,0.5803405197797745
37,5504,True,h,2015-05-23 19:30:00,w,150,Real Madrid,RMA,142,Getafe,GET,7,3,3.13453,0.979312,0.7958252952282677,0.12101253836240887,0.08316102342116286
0,1405,True,a,2015-08-23 22:30:00,d,149,Sporting Gijon,GIJ,150,Real Madrid,RMA,0,0,0.333248,1.54271,0.07658256847147074,0.24269381166557932,0.6807236197423011
1,1413,True,h,2015-08-30 00:30:00,w,150,Real Madrid,RMA,153,Real Betis,BET,5,0,3.14512,0.941159,0.8040130912281168,0.11797150277617728,0.07801421541097484
2,1420,True,a,2015-09-12 18:00:00,w,141,Espanyol,ESP,150,Real Madrid,RMA,0,6,1.47918,4.38766,0.07081504446230465,0.08399070720248547,0.8451383579629342
3,1430,True,h,2015-09-19 18:00:00,w,150,Real Madrid,RMA,155,Granada,GRA,1,0,3.03758,1.7661,0.6347653552913576,0.16109022969657522,0.20414363386311404
4,1445,True,a,2015-09-23 23:00:00,w,147,Athletic Club,ATH,150,Real Madrid,RMA,1,2,1.17616,2.93805,0.12259216124254399,0.14496611227363201,0.732441207326955
5,1451,True,h,2015-09-26 20:15:00,d,150,Real Madrid,RMA,137,Malaga,MAL,0,0,3.18828,0.638418,0.8616336497593614,0.09448444822309593,0.043880498502868036
6,1468,True,a,2015-10-04 22:30:00,d,143,Atletico Madrid,ATL,150,Real Madrid,RMA,1,1,2.38708,0.792017,0.7279635774799524,0.16632115654662638,0.10571522758286864
7,1469,True,h,2015-10-17 18:00:00,w,150,Real Madrid,RMA,151,Levante,LEV,3,0,1.60293,1.5507,0.39316819088135657,0.2361239010134954,0.3707079077731586
8,1480,True,a,2015-10-24 18:00:00,w,152,Celta Vigo,CEL,150,Real Madrid,RMA,1,3,1.57638,1.9616,0.3129958570676835,0.21757989824788282,0.46942424152318435
9,1490,True,h,2015-10-31 19:00:00,w,150,Real Madrid,RMA,144,Las Palmas,LPL,3,1,2.80269,0.562561,0.8352833606564808,0.11466455066915965,0.05005179862449599
10,1508,True,a,2015-11-08 23:30:00,l,138,Sevilla,SEV,150,Real Madrid,RMA,3,2,2.39505,1.25807,0.6255365811812522,0.18667450563574742,0.18778887311426787
11,1510,True,h,2015-11-21 21:15:00,l,150,Real Madrid,RMA,148,Barcelona,BAR,0,4,1.2581,3.27692,0.10893917823973837,0.1277854285606633,0.7632734421146086
12,1526,True,a,2015-11-29 19:00:00,w,156,Eibar,EIB,150,Real Madrid,RMA,0,2,0.28097,2.29034,0.03324180973490383,0.13412518298709586,0.8326329846979211
13,1529,True,h,2015-12-05 19:00:00,w,150,Real Madrid,RMA,142,Getafe,GET,4,1,1.87007,0.24488,0.7760624843119331,0.18254129494075347,0.04139621915234054
14,1548,True,a,2015-12-13 23:30:00,l,154,Villarreal,VIL,150,Real Madrid,RMA,1,0,0.940499,1.45508,0.2437768352129765,0.26555329764536,0.4906698670870832
15,1553,True,h,2015-12-20 19:00:00,w,150,Real Madrid,RMA,145,Rayo Vallecano,RVL,10,2,5.71778,0.93456,0.9617188127040014,0.025160079155157198,0.012242309675630347
16,1558,True,h,2015-12-30 19:00:00,w,150,Real Madrid,RMA,140,Real Sociedad,SOC,3,1,3.42264,0.580977,0.8908143737040243,0.07710075852995521,0.03208159251963143
17,1576,True,a,2016-01-03 23:30:00,d,146,Valencia,VAL,150,Real Madrid,RMA,2,2,2.45563,1.20246,0.6486775364477568,0.18038507472198953,0.1709373337411814
18,1581,True,h,2016-01-09 23:30:00,w,150,Real Madrid,RMA,139,Deportivo La Coruna,DEP,5,0,3.52924,0.989088,0.8373167012070364,0.09834060413610796,0.06433799241136239
